Event	Score
425	4.519154146907013
426	5.527710441474277
427	5.565047292106703
428	4.112003232080864
429	3.5264006495888296
430	4.8039402840923655
431	4.614907173561567
432	4.9351520618515465
433	5.656700760621715
434	5.439129831087108
435	4.955253313133628
436	4.791588562223987
437	5.742260070149535
438	5.178757473366161
439	3.722243637130613
440	5.1625134658249685
441	5.338299889371753
442	5.261799535940074
443	6.668560365872145
444	2.988924754177316
445	5.032174341642893
446	4.207950751620696
447	5.0156614052777755
448	5.139150730520699
449	3.2904963903300066
450	3.566174196404822
451	6.18262917364251
452	5.455800989018065
453	6.0753543576639695
454	4.105837755955131
455	5.358274357985877
456	5.263611295829627
457	5.4222892399671325
458	3.532021342957436
459	4.803029605002916
460	4.887340890175563
461	4.215802167770901
462	5.444636779072436
463	5.4240430351962905
464	5.747826971052452
465	5.8240493158580815
466	3.8916356272902854
467	4.1247280795556485
468	5.515275344977383
469	6.215298906613759
470	5.527710441474277
471	5.263611295829627
472	4.777153986583522
473	4.102380540450344
474	4.1875030619114435
475	4.29786822461814
476	5.740690111217093
477	5.439129831087108
478	4.298593056857231
479	4.39936318484314
480	5.275049749685683
481	5.542227728579844
482	4.967107097481469
483	4.280947882473013
484	3.1108528985677584
485	4.471501196796869
486	5.718005151842637
487	5.390254453312059
488	4.897064455060025
489	5.966234344173575
490	5.924323115318301
491	5.402979300786843
492	4.821927516339138
493	4.572335207921562
494	4.74892227389861
495	4.2007532756570525
496	5.050849274342646
497	3.537448539917613
498	4.796383522050936
499	1.6448527533296884
500	6.668560365872145
501	4.2174244335880084
502	4.026636848934536
503	5.963078382647456
504	4.175253371766935
505	3.636749136617383
506	4.978573199956656
507	3.276773801890978
508	5.439129831087108
509	6.542616985012487
510	5.715459618386889
511	3.8608555878229147
512	6.081332928640131
513	3.7568427427612985
514	6.18262917364251
515	5.846111312724238
516	4.994784729847573
517	5.988530903742556
518	3.674235383646481
519	5.092320134104967
520	4.751571723749702
521	3.4520551488420255
522	5.726017706580322
523	5.950616964879777
524	5.435352548563168
525	5.867897880286304
526	3.692518634720198
527	6.580721001385408
528	5.974677646992224
529	3.103719597045264
530	4.192707366621569
531	4.13055482292157
532	5.747826971052452
533	5.387554150044408
534	4.895387497914024
535	6.526438634175453
536	5.444636779072436
537	5.439129831087108
538	4.9389569929946155
539	6.193814632088793
540	5.421655723306383
541	5.500031959978257
542	4.1875030619114435
543	6.03779572217518
544	3.9371594137498986
545	6.265239226257454
546	4.102876341425549
547	5.398697756130709
548	5.126909775619074
549	5.37884868537572
550	5.846111312724238
551	6.526438634175453
552	6.054415900569814
553	5.510211273997294
554	5.142337721587021
555	4.078789056613922
556	5.295012565823951
557	3.2080639698288866
558	5.448077396037952
559	5.025475477300948
560	5.561499023358508
561	3.6619651268363445
562	4.748131106784187
563	4.162528524292151
564	4.881166831645138
565	4.9719602758314885
566	4.422540862781079
567	5.126909775619074
568	5.178757473366161
569	5.117505314026476
570	5.1426944054144705
571	5.528375209933497
572	5.444636779072436
573	3.8646605189659846
574	5.435352548563168
575	2.8627782793819754
576	5.527710441474277
577	5.417868976665866
578	5.444636779072436
579	4.11544384904638
580	4.8590341965804
581	6.098201168379236
582	5.8684588518295415
583	5.552363550298503
584	4.571795576937108
585	6.050992594071519
586	5.78639550416525
587	4.673235538918458
588	4.915490994662416
589	3.8575263683135743
590	5.775091456146113
591	3.6682871920703874
592	3.8363972187209603
593	3.566174196404822
594	3.622622326652671
595	6.140985364412468
596	4.015449844499414
597	5.255946088449534
598	5.380257767386868
599	5.43692250749561
600	4.222906321877079
601	4.959243007801806
602	4.12887147181997
603	5.3719347082932085
604	5.435352548563168
605	4.808508904369114
606	5.372889530885861
607	5.707670428635427
608	5.510211273997294
609	5.747826971052452
610	4.181212526256793
611	5.4222892399671325
612	6.239901777893978
613	3.1643499155346655
614	4.406024461944078
615	4.112003232080864
616	6.645722512855326
617	5.229110726743956
618	4.254886417203259
619	3.6619651268363445
620	4.704347057934893
621	4.519154146907013
622	5.3387715123625865
623	4.4453022077848665
624	4.881992163756075
625	2.7986336922296413
626	4.70601855355635
627	5.617776924134928
628	3.615233052108719
629	4.766815108748829
630	4.025341226836964
631	3.722243637130613
632	5.960116968117876
633	4.963329814957529
634	4.2005587827717745
635	5.911598267843518
636	6.257668711392945
637	5.699744610396929
638	4.39936318484314
639	5.32557504189697
640	3.925329037787445
641	3.858160236264331
642	3.532021342957436
643	6.772209081229449
644	6.219564695020025
645	2.9206381921302853
646	4.963329814957529
647	5.325236580775718
648	4.7739192628550065
649	6.022080714185219
650	5.6574051850178115
651	4.755349006273643
652	5.846111312724238
653	5.863945317733373
654	4.29479237514319
655	4.090781276105577
656	4.1875030619114435
657	4.458710796925987
658	5.858836160199021
659	4.6914403384471655
660	3.5829573652841367
661	5.502521350086282
662	3.77954558524059
663	3.5217492308463276
664	5.508471040459564
665	4.373099363741687
666	4.707047052796452
667	4.8590341965804
668	4.105837755955131
669	6.154893460409703
670	5.681885940543224
671	4.29479237514319
672	5.366856465884065
673	3.931834127210797
674	5.32557504189697
675	5.482667037552059
676	6.237810562395667
677	5.435352548563168
678	5.3636053003765936
679	6.03779572217518
680	6.866103434587008
681	4.320004988055958
682	5.873876451262467
683	3.8608555878229147
684	5.862277186917698
685	4.78616136526381
686	3.6141824498889537
687	4.366394877201185
688	5.07992701079438
